timestep,time,price [EUR/kWh],grid supply [kW],fixed load [kW],local generation [kW],flex band min [kW],flex band base [kW],flex band max [kW],generated feed-in [kW],V2G feed-in [kW],sum CS power [kW],# occupied CS [-],# CS in use [-],C1 [kW],C2 [kW],C3 [kW]
77,2020-01-01 19:15:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
78,2020-01-01 19:30:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
79,2020-01-01 19:45:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
80,2020-01-01 20:00:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
81,2020-01-01 20:15:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
82,2020-01-01 20:30:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
83,2020-01-01 20:45:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
84,2020-01-01 21:00:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
85,2020-01-01 21:15:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
86,2020-01-01 21:30:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
87,2020-01-01 21:45:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
88,2020-01-01 22:00:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
89,2020-01-01 22:15:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
90,2020-01-01 22:30:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
91,2020-01-01 22:45:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
92,2020-01-01 23:00:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
93,2020-01-01 23:15:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
94,2020-01-01 23:30:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
95,2020-01-01 23:45:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
96,2020-01-02 00:00:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
